verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question
demonstrate,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Paul asks: Did Michelle demonstrate that Olivia sleeps until noon? Question: Does Paul believe that Olivia sleeps until noon?,Paul asks: Did Michelle demonstrate that Olivia sleeps until noon?,Does Paul believe that Olivia sleeps until noon?,Does Paul believe that Olivia doesn't sleep until noon?
discover,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Brian asks: Did Stephanie discover that Olivia sleeps until noon? Question: Does Brian believe that Olivia sleeps until noon?,Brian asks: Did Stephanie discover that Olivia sleeps until noon?,Does Brian believe that Olivia sleeps until noon?,Does Brian believe that Olivia doesn't sleep until noon?
establish,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Jennifer asks: Did Gary establish that Olivia sleeps until noon? Question: Does Jennifer believe that Olivia sleeps until noon?,Jennifer asks: Did Gary establish that Olivia sleeps until noon?,Does Jennifer believe that Olivia sleeps until noon?,Does Jennifer believe that Olivia doesn't sleep until noon?
hear,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Dorothy asks: Did Emily hear that Olivia sleeps until noon? Question: Does Dorothy believe that Olivia sleeps until noon?,Dorothy asks: Did Emily hear that Olivia sleeps until noon?,Does Dorothy believe that Olivia sleeps until noon?,Does Dorothy believe that Olivia doesn't sleep until noon?
inform,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Jennifer asks: Did Jason inform Jane that Olivia sleeps until noon? Question: Does Jennifer believe that Olivia sleeps until noon?,Jennifer asks: Did Jason inform Jane that Olivia sleeps until noon?,Does Jennifer believe that Olivia sleeps until noon?,Does Jennifer believe that Olivia doesn't sleep until noon?
know,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Paul asks: Does Laura know that Olivia sleeps until noon? Question: Does Paul believe that Olivia sleeps until noon?,Paul asks: Does Laura know that Olivia sleeps until noon?,Does Paul believe that Olivia sleeps until noon?,Does Paul believe that Olivia doesn't sleep until noon?
pretend,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Lisa asks: Did Emily pretend that Olivia sleeps until noon? Question: Does Lisa believe that Olivia sleeps until noon?,Lisa asks: Did Emily pretend that Olivia sleeps until noon?,Does Lisa believe that Olivia sleeps until noon?,Does Lisa believe that Olivia doesn't sleep until noon?
prove,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Kathleen asks: Did Nicholas prove that Olivia sleeps until noon? Question: Does Kathleen believe that Olivia sleeps until noon?,Kathleen asks: Did Nicholas prove that Olivia sleeps until noon?,Does Kathleen believe that Olivia sleeps until noon?,Does Kathleen believe that Olivia doesn't sleep until noon?
reveal,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Kenneth asks: Did Jeffrey reveal that Olivia sleeps until noon? Question: Does Kenneth believe that Olivia sleeps until noon?,Kenneth asks: Did Jeffrey reveal that Olivia sleeps until noon?,Does Kenneth believe that Olivia sleeps until noon?,Does Kenneth believe that Olivia doesn't sleep until noon?
say,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Betty asks: Did Emily say that Olivia sleeps until noon? Question: Does Betty believe that Olivia sleeps until noon?,Betty asks: Did Emily say that Olivia sleeps until noon?,Does Betty believe that Olivia sleeps until noon?,Does Betty believe that Olivia doesn't sleep until noon?
see,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Kimberly asks: Did Ronald see that Olivia sleeps until noon? Question: Does Kimberly believe that Olivia sleeps until noon?,Kimberly asks: Did Ronald see that Olivia sleeps until noon?,Does Kimberly believe that Olivia sleeps until noon?,Does Kimberly believe that Olivia doesn't sleep until noon?
suggest,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Karen asks: Did Emily suggest that Olivia sleeps until noon? Question: Does Karen believe that Olivia sleeps until noon?,Karen asks: Did Emily suggest that Olivia sleeps until noon?,Does Karen believe that Olivia sleeps until noon?,Does Karen believe that Olivia doesn't sleep until noon?
think,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Cynthia asks: Does Ryan think that Olivia sleeps until noon? Question: Does Cynthia believe that Olivia sleeps until noon?,Cynthia asks: Does Ryan think that Olivia sleeps until noon?,Does Cynthia believe that Olivia sleeps until noon?,Does Cynthia believe that Olivia doesn't sleep until noon?
polar,p,high_prior,Olivia,Olivia works the third shift.,Fact: Olivia works the third shift. Sentence: Karen asks: Does Olivia sleep until noon? Question: Does Karen believe that Olivia sleeps until noon?,Karen asks: Does Olivia sleep until noon?,Does Karen believe that Olivia sleeps until noon?,
acknowledge,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Tyler asks: Did Jacob acknowledge that Jon walks to work? Question: Does Tyler believe that Jon walks to work?,Tyler asks: Did Jacob acknowledge that Jon walks to work?,Does Tyler believe that Jon walks to work?,Does Tyler believe that Jon doesn't walk to work?
admit,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Paul asks: Did Stephanie admit that Jon walks to work? Question: Does Paul believe that Jon walks to work?,Paul asks: Did Stephanie admit that Jon walks to work?,Does Paul believe that Jon walks to work?,Does Paul believe that Jon doesn't walk to work?
announce,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Scott asks: Did Eric announce that Jon walks to work? Question: Does Scott believe that Jon walks to work?,Scott asks: Did Eric announce that Jon walks to work?,Does Scott believe that Jon walks to work?,Does Scott believe that Jon doesn't walk to work?
annoyed,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Nancy asks: Is Emily annoyed that Jon walks to work? Question: Does Nancy believe that Jon walks to work?,Nancy asks: Is Emily annoyed that Jon walks to work?,Does Nancy believe that Jon walks to work?,Does Nancy believe that Jon doesn't walk to work?
right,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Scott asks: Is Carol right that Jon walks to work? Question: Does Scott believe that Jon walks to work?,Scott asks: Is Carol right that Jon walks to work?,Does Scott believe that Jon walks to work?,Does Scott believe that Jon doesn't walk to work?
confess,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Kenneth asks: Did Gary confess that Jon walks to work? Question: Does Kenneth believe that Jon walks to work?,Kenneth asks: Did Gary confess that Jon walks to work?,Does Kenneth believe that Jon walks to work?,Does Kenneth believe that Jon doesn't walk to work?
confirm,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Kenneth asks: Did Ryan confirm that Jon walks to work? Question: Does Kenneth believe that Jon walks to work?,Kenneth asks: Did Ryan confirm that Jon walks to work?,Does Kenneth believe that Jon walks to work?,Does Kenneth believe that Jon doesn't walk to work?
demonstrate,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: George asks: Did Timothy demonstrate that Jon walks to work? Question: Does George believe that Jon walks to work?,George asks: Did Timothy demonstrate that Jon walks to work?,Does George believe that Jon walks to work?,Does George believe that Jon doesn't walk to work?
discover,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Kevin asks: Did Michelle discover that Jon walks to work? Question: Does Kevin believe that Jon walks to work?,Kevin asks: Did Michelle discover that Jon walks to work?,Does Kevin believe that Jon walks to work?,Does Kevin believe that Jon doesn't walk to work?
establish,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Tyler asks: Did Eric establish that Jon walks to work? Question: Does Tyler believe that Jon walks to work?,Tyler asks: Did Eric establish that Jon walks to work?,Does Tyler believe that Jon walks to work?,Does Tyler believe that Jon doesn't walk to work?
hear,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Tyler asks: Did Sharon hear that Jon walks to work? Question: Does Tyler believe that Jon walks to work?,Tyler asks: Did Sharon hear that Jon walks to work?,Does Tyler believe that Jon walks to work?,Does Tyler believe that Jon doesn't walk to work?
inform,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Ashley asks: Did Stephanie inform Jane that Jon walks to work? Question: Does Ashley believe that Jon walks to work?,Ashley asks: Did Stephanie inform Jane that Jon walks to work?,Does Ashley believe that Jon walks to work?,Does Ashley believe that Jon doesn't walk to work?
know,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Kenneth asks: Does Jason know that Jon walks to work? Question: Does Kenneth believe that Jon walks to work?,Kenneth asks: Does Jason know that Jon walks to work?,Does Kenneth believe that Jon walks to work?,Does Kenneth believe that Jon doesn't walk to work?
pretend,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Paul asks: Did Jeffrey pretend that Jon walks to work? Question: Does Paul believe that Jon walks to work?,Paul asks: Did Jeffrey pretend that Jon walks to work?,Does Paul believe that Jon walks to work?,Does Paul believe that Jon doesn't walk to work?
prove,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Edward asks: Did Melissa prove that Jon walks to work? Question: Does Edward believe that Jon walks to work?,Edward asks: Did Melissa prove that Jon walks to work?,Does Edward believe that Jon walks to work?,Does Edward believe that Jon doesn't walk to work?
reveal,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Paul asks: Did Deborah reveal that Jon walks to work? Question: Does Paul believe that Jon walks to work?,Paul asks: Did Deborah reveal that Jon walks to work?,Does Paul believe that Jon walks to work?,Does Paul believe that Jon doesn't walk to work?
say,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Cynthia asks: Did Gary say that Jon walks to work? Question: Does Cynthia believe that Jon walks to work?,Cynthia asks: Did Gary say that Jon walks to work?,Does Cynthia believe that Jon walks to work?,Does Cynthia believe that Jon doesn't walk to work?
see,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Donna asks: Did Carol see that Jon walks to work? Question: Does Donna believe that Jon walks to work?,Donna asks: Did Carol see that Jon walks to work?,Does Donna believe that Jon walks to work?,Does Donna believe that Jon doesn't walk to work?
suggest,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Ashley asks: Did Gary suggest that Jon walks to work? Question: Does Ashley believe that Jon walks to work?,Ashley asks: Did Gary suggest that Jon walks to work?,Does Ashley believe that Jon walks to work?,Does Ashley believe that Jon doesn't walk to work?
think,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Donna asks: Does Amanda think that Jon walks to work? Question: Does Donna believe that Jon walks to work?,Donna asks: Does Amanda think that Jon walks to work?,Does Donna believe that Jon walks to work?,Does Donna believe that Jon doesn't walk to work?
polar,p,high_prior,Jon,Jon lives 2 blocks away from work.,Fact: Jon lives 2 blocks away from work. Sentence: Kenneth asks: Does John walk to work? Question: Does Kenneth believe that Jon walks to work?,Kenneth asks: Does John walk to work?,Does Kenneth believe that Jon walks to work?,
acknowledge,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Tyler asks: Did Eric acknowledge that Charley speaks Spanish? Question: Does Tyler believe that Charley speaks Spanish?,Tyler asks: Did Eric acknowledge that Charley speaks Spanish?,Does Tyler believe that Charley speaks Spanish?,Does Tyler believe that Charley doesn't speak Spanish?
admit,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Donna asks: Did Gary admit that Charley speaks Spanish? Question: Does Donna believe that Charley speaks Spanish?,Donna asks: Did Gary admit that Charley speaks Spanish?,Does Donna believe that Charley speaks Spanish?,Does Donna believe that Charley doesn't speak Spanish?
announce,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Sandra asks: Did Eric announce that Charley speaks Spanish? Question: Does Sandra believe that Charley speaks Spanish?,Sandra asks: Did Eric announce that Charley speaks Spanish?,Does Sandra believe that Charley speaks Spanish?,Does Sandra believe that Charley doesn't speak Spanish?
annoyed,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: George asks: Is Ryan annoyed that Charley speaks Spanish? Question: Does George believe that Charley speaks Spanish?,George asks: Is Ryan annoyed that Charley speaks Spanish?,Does George believe that Charley speaks Spanish?,Does George believe that Charley doesn't speak Spanish?
right,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Cynthia asks: Is Sharon right that Charley speaks Spanish? Question: Does Cynthia believe that Charley speaks Spanish?,Cynthia asks: Is Sharon right that Charley speaks Spanish?,Does Cynthia believe that Charley speaks Spanish?,Does Cynthia believe that Charley doesn't speak Spanish?
confess,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Larry asks: Did Jason confess that Charley speaks Spanish? Question: Does Larry believe that Charley speaks Spanish?,Larry asks: Did Jason confess that Charley speaks Spanish?,Does Larry believe that Charley speaks Spanish?,Does Larry believe that Charley doesn't speak Spanish?
confirm,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Donna asks: Did Jonathan confirm that Charley speaks Spanish? Question: Does Donna believe that Charley speaks Spanish?,Donna asks: Did Jonathan confirm that Charley speaks Spanish?,Does Donna believe that Charley speaks Spanish?,Does Donna believe that Charley doesn't speak Spanish?
demonstrate,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Dorothy asks: Did Ronald demonstrate that Charley speaks Spanish? Question: Does Dorothy believe that Charley speaks Spanish?,Dorothy asks: Did Ronald demonstrate that Charley speaks Spanish?,Does Dorothy believe that Charley speaks Spanish?,Does Dorothy believe that Charley doesn't speak Spanish?
discover,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Steven asks: Did Ronald discover that Charley speaks Spanish? Question: Does Steven believe that Charley speaks Spanish?,Steven asks: Did Ronald discover that Charley speaks Spanish?,Does Steven believe that Charley speaks Spanish?,Does Steven believe that Charley doesn't speak Spanish?
establish,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Brian asks: Did Amanda establish that Charley speaks Spanish? Question: Does Brian believe that Charley speaks Spanish?,Brian asks: Did Amanda establish that Charley speaks Spanish?,Does Brian believe that Charley speaks Spanish?,Does Brian believe that Charley doesn't speak Spanish?
hear,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Tyler asks: Did Laura hear that Charley speaks Spanish? Question: Does Tyler believe that Charley speaks Spanish?,Tyler asks: Did Laura hear that Charley speaks Spanish?,Does Tyler believe that Charley speaks Spanish?,Does Tyler believe that Charley doesn't speak Spanish?
inform,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Lisa asks: Did Jason inform Jane that Charley speaks Spanish? Question: Does Lisa believe that Charley speaks Spanish?,Lisa asks: Did Jason inform Jane that Charley speaks Spanish?,Does Lisa believe that Charley speaks Spanish?,Does Lisa believe that Charley doesn't speak Spanish?
know,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Scott asks: Does Melissa know that Charley speaks Spanish? Question: Does Scott believe that Charley speaks Spanish?,Scott asks: Does Melissa know that Charley speaks Spanish?,Does Scott believe that Charley speaks Spanish?,Does Scott believe that Charley doesn't speak Spanish?
pretend,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Larry asks: Did Deborah pretend that Charley speaks Spanish? Question: Does Larry believe that Charley speaks Spanish?,Larry asks: Did Deborah pretend that Charley speaks Spanish?,Does Larry believe that Charley speaks Spanish?,Does Larry believe that Charley doesn't speak Spanish?
prove,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Scott asks: Did Rebecca prove that Charley speaks Spanish? Question: Does Scott believe that Charley speaks Spanish?,Scott asks: Did Rebecca prove that Charley speaks Spanish?,Does Scott believe that Charley speaks Spanish?,Does Scott believe that Charley doesn't speak Spanish?
reveal,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Tyler asks: Did Timothy reveal that Charley speaks Spanish? Question: Does Tyler believe that Charley speaks Spanish?,Tyler asks: Did Timothy reveal that Charley speaks Spanish?,Does Tyler believe that Charley speaks Spanish?,Does Tyler believe that Charley doesn't speak Spanish?
say,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Scott asks: Did Emily say that Charley speaks Spanish? Question: Does Scott believe that Charley speaks Spanish?,Scott asks: Did Emily say that Charley speaks Spanish?,Does Scott believe that Charley speaks Spanish?,Does Scott believe that Charley doesn't speak Spanish?
see,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Cynthia asks: Did Stephanie see that Charley speaks Spanish? Question: Does Cynthia believe that Charley speaks Spanish?,Cynthia asks: Did Stephanie see that Charley speaks Spanish?,Does Cynthia believe that Charley speaks Spanish?,Does Cynthia believe that Charley doesn't speak Spanish?
suggest,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Karen asks: Did Ryan suggest that Charley speaks Spanish? Question: Does Karen believe that Charley speaks Spanish?,Karen asks: Did Ryan suggest that Charley speaks Spanish?,Does Karen believe that Charley speaks Spanish?,Does Karen believe that Charley doesn't speak Spanish?
think,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Betty asks: Does Nicholas think that Charley speaks Spanish? Question: Does Betty believe that Charley speaks Spanish?,Betty asks: Does Nicholas think that Charley speaks Spanish?,Does Betty believe that Charley speaks Spanish?,Does Betty believe that Charley doesn't speak Spanish?
polar,p,high_prior,Charley,Charley lives in Mexico.,Fact: Charley lives in Mexico. Sentence: Lisa asks: Does Charley speak Spanish? Question: Does Lisa believe that Charley speaks Spanish?,Lisa asks: Does Charley speak Spanish?,Does Lisa believe that Charley speaks Spanish?,
acknowledge,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Larry asks: Did Stephanie acknowledge that Mia drank 2 cocktails last night? Question: Does Larry believe that Mia drank 2 cocktails last night?,Larry asks: Did Stephanie acknowledge that Mia drank 2 cocktails last night?,Does Larry believe that Mia drank 2 cocktails last night?,Does Larry believe that Mia didn't drink 2 cocktails last night?
admit,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Jennifer asks: Did Jeffrey admit that Mia drank 2 cocktails last night? Question: Does Jennifer believe that Mia drank 2 cocktails last night?,Jennifer asks: Did Jeffrey admit that Mia drank 2 cocktails last night?,Does Jennifer believe that Mia drank 2 cocktails last night?,Does Jennifer believe that Mia didn't drink 2 cocktails last night?
announce,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: George asks: Did Stephanie announce that Mia drank 2 cocktails last night? Question: Does George believe that Mia drank 2 cocktails last night?,George asks: Did Stephanie announce that Mia drank 2 cocktails last night?,Does George believe that Mia drank 2 cocktails last night?,Does George believe that Mia didn't drink 2 cocktails last night?
annoyed,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Dorothy asks: Is Deborah annoyed that Mia drank 2 cocktails last night? Question: Does Dorothy believe that Mia drank 2 cocktails last night?,Dorothy asks: Is Deborah annoyed that Mia drank 2 cocktails last night?,Does Dorothy believe that Mia drank 2 cocktails last night?,Does Dorothy believe that Mia didn't drink 2 cocktails last night?
right,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Karen asks: Is Jacob right that Mia drank 2 cocktails last night? Question: Does Karen believe that Mia drank 2 cocktails last night?,Karen asks: Is Jacob right that Mia drank 2 cocktails last night?,Does Karen believe that Mia drank 2 cocktails last night?,Does Karen believe that Mia didn't drink 2 cocktails last night?
confess,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Kenneth asks: Did Timothy confess that Mia drank 2 cocktails last night? Question: Does Kenneth believe that Mia drank 2 cocktails last night?,Kenneth asks: Did Timothy confess that Mia drank 2 cocktails last night?,Does Kenneth believe that Mia drank 2 cocktails last night?,Does Kenneth believe that Mia didn't drink 2 cocktails last night?
confirm,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Kenneth asks: Did Jason confirm that Mia drank 2 cocktails last night? Question: Does Kenneth believe that Mia drank 2 cocktails last night?,Kenneth asks: Did Jason confirm that Mia drank 2 cocktails last night?,Does Kenneth believe that Mia drank 2 cocktails last night?,Does Kenneth believe that Mia didn't drink 2 cocktails last night?
demonstrate,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Ashley asks: Did Ryan demonstrate that Mia drank 2 cocktails last night? Question: Does Ashley believe that Mia drank 2 cocktails last night?,Ashley asks: Did Ryan demonstrate that Mia drank 2 cocktails last night?,Does Ashley believe that Mia drank 2 cocktails last night?,Does Ashley believe that Mia didn't drink 2 cocktails last night?
discover,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Kevin asks: Did Laura discover that Mia drank 2 cocktails last night? Question: Does Kevin believe that Mia drank 2 cocktails last night?,Kevin asks: Did Laura discover that Mia drank 2 cocktails last night?,Does Kevin believe that Mia drank 2 cocktails last night?,Does Kevin believe that Mia didn't drink 2 cocktails last night?
establish,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Steven asks: Did Laura establish that Mia drank 2 cocktails last night? Question: Does Steven believe that Mia drank 2 cocktails last night?,Steven asks: Did Laura establish that Mia drank 2 cocktails last night?,Does Steven believe that Mia drank 2 cocktails last night?,Does Steven believe that Mia didn't drink 2 cocktails last night?
hear,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Karen asks: Did Laura hear that Mia drank 2 cocktails last night? Question: Does Karen believe that Mia drank 2 cocktails last night?,Karen asks: Did Laura hear that Mia drank 2 cocktails last night?,Does Karen believe that Mia drank 2 cocktails last night?,Does Karen believe that Mia didn't drink 2 cocktails last night?
inform,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Paul asks: Did Emily inform Jane that Mia drank 2 cocktails last night? Question: Does Paul believe that Mia drank 2 cocktails last night?,Paul asks: Did Emily inform Jane that Mia drank 2 cocktails last night?,Does Paul believe that Mia drank 2 cocktails last night?,Does Paul believe that Mia didn't drink 2 cocktails last night?
know,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Tyler asks: Does Michelle know that Mia drank 2 cocktails last night? Question: Does Tyler believe that Mia drank 2 cocktails last night?,Tyler asks: Does Michelle know that Mia drank 2 cocktails last night?,Does Tyler believe that Mia drank 2 cocktails last night?,Does Tyler believe that Mia didn't drink 2 cocktails last night?
pretend,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Scott asks: Did Stephanie pretend that Mia drank 2 cocktails last night? Question: Does Scott believe that Mia drank 2 cocktails last night?,Scott asks: Did Stephanie pretend that Mia drank 2 cocktails last night?,Does Scott believe that Mia drank 2 cocktails last night?,Does Scott believe that Mia didn't drink 2 cocktails last night?
prove,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Tyler asks: Did Nicholas prove that Mia drank 2 cocktails last night? Question: Does Tyler believe that Mia drank 2 cocktails last night?,Tyler asks: Did Nicholas prove that Mia drank 2 cocktails last night?,Does Tyler believe that Mia drank 2 cocktails last night?,Does Tyler believe that Mia didn't drink 2 cocktails last night?
reveal,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Ashley asks: Did Rebecca reveal that Mia drank 2 cocktails last night? Question: Does Ashley believe that Mia drank 2 cocktails last night?,Ashley asks: Did Rebecca reveal that Mia drank 2 cocktails last night?,Does Ashley believe that Mia drank 2 cocktails last night?,Does Ashley believe that Mia didn't drink 2 cocktails last night?
say,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Jennifer asks: Did Gary say that Mia drank 2 cocktails last night? Question: Does Jennifer believe that Mia drank 2 cocktails last night?,Jennifer asks: Did Gary say that Mia drank 2 cocktails last night?,Does Jennifer believe that Mia drank 2 cocktails last night?,Does Jennifer believe that Mia didn't drink 2 cocktails last night?
see,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Kenneth asks: Did Gary see that Mia drank 2 cocktails last night? Question: Does Kenneth believe that Mia drank 2 cocktails last night?,Kenneth asks: Did Gary see that Mia drank 2 cocktails last night?,Does Kenneth believe that Mia drank 2 cocktails last night?,Does Kenneth believe that Mia didn't drink 2 cocktails last night?
suggest,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Edward asks: Did Jeffrey suggest that Mia drank 2 cocktails last night? Question: Does Edward believe that Mia drank 2 cocktails last night?,Edward asks: Did Jeffrey suggest that Mia drank 2 cocktails last night?,Does Edward believe that Mia drank 2 cocktails last night?,Does Edward believe that Mia didn't drink 2 cocktails last night?
think,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Karen asks: Does Ryan think that Mia drank 2 cocktails last night? Question: Does Karen believe that Mia drank 2 cocktails last night?,Karen asks: Does Ryan think that Mia drank 2 cocktails last night?,Does Karen believe that Mia drank 2 cocktails last night?,Does Karen believe that Mia didn't drink 2 cocktails last night?
polar,p,high_prior,Mia,Mia is a college student.,Fact: Mia is a college student. Sentence: Nancy asks: Did Mia drink 2 cocktails last night? Question: Does Nancy believe that Mia drank 2 cocktails last night?,Nancy asks: Did Mia drink 2 cocktails last night?,Does Nancy believe that Mia drank 2 cocktails last night?,
acknowledge,p,high_prior,Sophia,Sophia is a hipster.,Fact: Sophia is a hipster. Sentence: Daniel asks: Did Jeffrey acknowledge that Sophia got a tattoo? Question: Does Daniel believe that Sophia got a tattoo?,Daniel asks: Did Jeffrey acknowledge that Sophia got a tattoo?,Does Daniel believe that Sophia got a tattoo?,Does Daniel believe that Sophia didn't get a tattoo?
admit,p,high_prior,Sophia,Sophia is a hipster.,Fact: Sophia is a hipster. Sentence: Kevin asks: Did Ronald admit that Sophia got a tattoo? Question: Does Kevin believe that Sophia got a tattoo?,Kevin asks: Did Ronald admit that Sophia got a tattoo?,Does Kevin believe that Sophia got a tattoo?,Does Kevin believe that Sophia didn't get a tattoo?
announce,p,high_prior,Sophia,Sophia is a hipster.,Fact: Sophia is a hipster. Sentence: Scott asks: Did Emily announce that Sophia got a tattoo? Question: Does Scott believe that Sophia got a tattoo?,Scott asks: Did Emily announce that Sophia got a tattoo?,Does Scott believe that Sophia got a tattoo?,Does Scott believe that Sophia didn't get a tattoo?
annoyed,p,high_prior,Sophia,Sophia is a hipster.,Fact: Sophia is a hipster. Sentence: Sandra asks: Is Rebecca annoyed that Sophia got a tattoo? Question: Does Sandra believe that Sophia got a tattoo?,Sandra asks: Is Rebecca annoyed that Sophia got a tattoo?,Does Sandra believe that Sophia got a tattoo?,Does Sandra believe that Sophia didn't get a tattoo?
